"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"
"AAAAAAAAAAAAAAA","SSSSSSSSSS","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","D","D",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","1249","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","1261","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","1276","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","1291","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","1305","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","1318","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","1331","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","743","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","1344","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","1263","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","P","P",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","P","P",
"BBBBBBBBBBBBBBB","EEEEEEEEEE","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","FFFFFFFFFF","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","GGGGGGGGGG","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","HHHHHHHHHH","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","IIIIIIIIII","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","JJJJJJJJJJ","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","KKKKKKKKKK","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","LLLLLLLLLL","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","MMMMMMMMMM","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","NNNNNNNNNN","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","OOOOOOOOOO","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","PPPPPPPPPP","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","QQQQQQQQQQ","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","RRRRRRRRRR","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","SSSSSSSSSS","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","TTTTTTTTTT","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","UUUUUUUUUU","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","VVVVVVVVVV","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","D","D",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","1413","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","1424","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","D","D",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","1434","Unsatisfactory",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","1445","Unsatisfactory",
"BBBBBBBBBBBBBBK","KKKKKKKKKM","989","Unsatisfactory",
"BBBBBBBBBBBBBBL","LLLLLLLLLN","1071","Unsatisfactory",
"BBBBBBBBBBBBBBM","MMMMMMMM O","1120","Unsatisfactory",
"BBBBBBBBBBBBBBN","NNNNNNNNNP","1110","Unsatisfactory",
"BBBBBBBBBBBBBBO","OOOOOOOOOQ","1145","Unsatisfactory",
"BBBBBBBBBBBBBBP","PPPPPPPPPR","1174","Unsatisfactory",
"BBBBBBBBBBBBBBQ","QQQQQQQQQS","1230","Unsatisfactory",
"BBBBBBBBBBBBBBR","RRRRRRRRRT","1249","Unsatisfactory",
"BBBBBBBBBBBBBBS","SSSSSSSSSU","1266","Unsatisfactory",
"BBBBBBBBBBBBBBT","TTTTTTTTTV","818","Unsatisfactory",
"BBBBBBBBBBBBBBU","UUUUUUUUUW","818","Unsatisfactory",
"BBBBBBBBBBBBBBV","VVVVVVVVVX","818","Unsatisfactory",
"BBBBBBBBBBBBBBW","WWWWWWWWWY","D","D",
"BBBBBBBBBBBBBBX","XXXXXXXXXZ","D","D",
"BBBBBBBBBBBBBBY","YYYYYYYYYA","D","D",
"BRAILLE","B","2035","Advanced",
"BRAILLE","B","1281","Unsatisfactory",
"BRAILLE","B","O","O",
"BRAILLE","B","1489","Satisfactory",
"BRAILLE","B","829","Unsatisfactory",
"BRAILLE","B","829","Unsatisfactory",
"BRAILLE","B","P","P",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","D","D",
"CCCCCCCCCCCCCCC","BBBBBBBBBB","P","P",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","1323","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","1356","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","743","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","1399","Unsatisfactory",
"CCCCCCCCCCCCCCC","DDDDDDDDDD","1368","Unsatisfactory",
"CCCCCCCCCCCCCCC","EEEEEEEEEE","1380","Unsatisfactory",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","D","D",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","1391","Unsatisfactory",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","D","D",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","1403","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","1414","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","D","D",
"CCCCCCCCCCCCCCC","IIIIIIIIII","1425","Unsatisfactory",
"CCCCCCCCCCCCCCC","IIIIIIIIII","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","1436","Unsatisfactory",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","D","D",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","1448","Unsatisfactory",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","D","D",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","1470","Satisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","D","D",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","1482","Satisfactory",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","D","D",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","1489","Satisfactory",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","D","D",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","1508","Satisfactory",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","P","P",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","1518","Satisfactory",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","D","D",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","P","P",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","1526","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","1545","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","P","P",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","1563","Satisfactory",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","D","D",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","1573","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","D","D",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","1582","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","P","P",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","1605","Satisfactory",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","O","O",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","D","D",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","1623","Satisfactory",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","O","O",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","1642","Satisfactory",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","O","O",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","D","D",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","1667","Advanced",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","O","O",
"CHANGENAME","FIVERM","A","A",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","D","D",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","1689","Advanced",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","O","O",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","D","D",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","1719","Advanced",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","1470","Satisfactory",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","D","D",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","1755","Advanced",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","1476","Satisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","D","D",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","909","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","1755","Advanced",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","1310","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","1372","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","1489","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","1498","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","D","D",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","1889","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","D","D",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","2028","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","1508","Satisfactory",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","D","D",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","O","O",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","D","D",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","O","O",
"DDDDDDDDDDDDDDD","IIIIIIIIII","D","D",
"DDDDDDDDDDDDDDD","IIIIIIIIII","1526","Satisfactory",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","D","D",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","1533","Satisfactory",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","D","D",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","1545","Satisfactory",
"DDDDDDDDDDDDDDD","LLLLLLLLLL","1563","Satisfactory",
"DDDDDDDDDDDDDDD","MMMMMMMMMM","1573","Satisfactory",
"DDDDDDDDDDDDDDD","NNNNNNNNNN","1582","Satisfactory",
"DDDDDDDDDDDDDDD","OOOOOOOOOO","1603","Satisfactory",
"DDDDDDDDDDDDDDD","PPPPPPPPPP","1620","Satisfactory",
"DDDDDDDDDDDDDDD","QQQQQQQQQQ","1639","Satisfactory",
"DDDDDDDDDDDDDDD","RRRRRRRRRR","1667","Advanced",
"DDDDDDDDDDDDDDD","SSSSSSSSSS","1684","Advanced",
"DDDDDDDDDDDDDDD","TTTTTTTTTT","1713","Advanced",
"DDDDDDDDDDDDDDD","UUUUUUUUUU","1749","Advanced",
"DDDDDDDDDDDDDDD","VVVVVVVVVV","1798","Advanced",
"DDDDDDDDDDDDDDD","WWWWWWWWWW","1880","Advanced",
"DDDDDDDDDDDDDDD","XXXXXXXXXX","2019","Advanced",
"DDDDDDDDDDDDDDD","YYYYYYYYYY","O","O",
"DDDDDDDDDDDDDDD","ZZZZZZZZZZ","O","O",
"EEEEEEEEEEEEEEE","AAAAAAAAAA","O","O",
"EEEEEEEEEEEEEEE","BBBBBBBBBB","O","O",
"EEEEEEEEEEEEEEE","CCCCCCCCCC","O","O",
"EEEEEEEEEEEEEEE","DDDDDDDDDD","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","1296","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","1007","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","O","O",
"EEEEEEEEEEEEEEE","FFFFFFFFFF","O","O",
"EEEEEEEEEEEEEEE","GGGGGGGGGG","A","A",
"EEEEEEEEEEEEEEE","HHHHHHHHHH","A","A",
"EEEEEEEEEEEEEEE","IIIIIIIIII","A","A",
"EEEEEEEEEEEEEEE","JJJJJJJJJJ","A","A",
"EEEEEEEEEEEEEEE","KKKKKKKKKK","O","O",
"EEEEEEEEEEEEEEE","LLLLLLLLLL","O","O",
"EEEEEEEEEEEEEEE","MMMMMMMMMM","O","O",
"EEEEEEEEEEEEEEE","NNNNNNNNNN","O","O",
"EEEEEEEEEEEEEEE","OOOOOOOOOO","O","O",
"EEEEEEEEEEEEEEE","PPPPPPPPPP","O","O",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","1281","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","1263","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","1067","Unsatisfactory",
"FIVE","FIVE","850","Unsatisfactory",
"FIVERM","ZT","A","A",
"FOUR T","T","1185","Unsatisfactory",
"FOURA","A","989","Unsatisfactory",
"FOURB","B","1071","Unsatisfactory",
"FOURD","D","1120","Unsatisfactory",
"FOURE","E","1185","Unsatisfactory",
"FOURF","F","1209","Unsatisfactory",
"FOURG","G","1230","Unsatisfactory",
"FOURH","H","1249","Unsatisfactory",
"FOURI","I","1266","Unsatisfactory",
"FOURJ","J","1281","Unsatisfactory",
"FOURK","K","1296","Unsatisfactory",
"FOURL","L","1310","Unsatisfactory",
"FOURM","M","1323","Unsatisfactory",
"FOURN","N","1335","Unsatisfactory",
"FOURP","P","989","Unsatisfactory",
"FOURQ","Q","1071","Unsatisfactory",
"FOURR","R","1120","Unsatisfactory",
"FOURS","S","1156","Unsatisfactory",
"FOURU","U","1209","Unsatisfactory",
"FOURV","V","1230","Unsatisfactory",
"FOURW","W","1249","Unsatisfactory",
"FOURX","X","1266","Unsatisfactory",
"FOURY","Y","1281","Unsatisfactory",
"FOURZ","Z","1296","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","1110","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","1399","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","1266","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","1372","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","1145","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","1249","Unsatisfactory",
"IIIIIIIIIIIIIII","IIIIIIIIII","1230","Unsatisfactory",
"IIIIIIIIIIIIIII","IIIIIIIIII","O","O",
"IIIIIIIIIIIIIII","IIIIIIIIII","1174","Unsatisfactory",
"JJJJJJJJJJJJJJJ","JJJJJJJJJJ","1209","Unsatisfactory",
"JJJJJJJJJJJJJJJ","JJJJJJJJJJ","1200","Unsatisfactory",
"KKKKKKKKKKKKKKK","KKKKKKKKKK","1223","Unsatisfactory",
"KKKKKKKKKKKKKKK","KKKKKKKKKK","1185","Unsatisfactory",
"LLLLLLLLLLLLLLL","LLLLLLLLLL","1156","Unsatisfactory",
"LLLLLLLLLLLLLLL","LLLLLLLLLL","909","Unsatisfactory",
"MMMMMMMMMMMMMMM","MMMMMMMMMM","1399","Unsatisfactory",
"MMMMMMMMMMMMMMM","MMMMMMMMMM","909","Unsatisfactory",
"NNNNNNNNNNNNNNN","NNNNNNNNNN","1007","Unsatisfactory",
"NNNNNNNNNNNNNNN","NNNNNNNNNN","1386","Unsatisfactory",
"ONEA","ONEA","1263","Unsatisfactory",
"ONEB","ONEB","1281","Unsatisfactory",
"ONEC","ONEC","1298","Unsatisfactory",
"ONED","ONED","1314","Unsatisfactory",
"ONEE","ONEE","1329","Unsatisfactory",
"ONEF","ONEF","1344","Unsatisfactory",
"ONEG","ONEG","1358","Unsatisfactory",
"ONEH","ONEH","1372","Unsatisfactory",
"ONEI","ONEI","1386","Unsatisfactory",
"ONEJ","ONEJ","1399","Unsatisfactory",
"ONEK","ONEK","1399","Unsatisfactory",
"ONEL","ONEL","1412","Unsatisfactory",
"ONEM","ONEM","1425","Unsatisfactory",
"ONEN","ONEN","1438","Unsatisfactory",
"ONEO","ONEO","1447","Unsatisfactory",
"ONEP","ONEP","1461","Satisfactory",
"ONEQ","ONEQ","1481","Satisfactory",
"ONER","ONER","1489","Satisfactory",
"ONES","ONES","1501","Satisfactory",
"ONET","ONET","1522","Satisfactory",
"ONEU","ONEU","1529","Satisfactory",
"ONEV","ONEV","1542","Satisfactory",
"ONEW","ONEW","1562","Satisfactory",
"ONEX","ONEX","1572","Satisfactory",
"ONEY","ONEY","1582","Satisfactory",
"ONEZ","ONEZ","1603","Satisfactory",
"OOOOOOOOOOOOOOO","OOOOOOOOOO","1007","Unsatisfactory",
"OOOOOOOOOOOOOOO","OOOOOOOOOO","1372","Unsatisfactory",
"PPPPPPPPPPPPPPP","PPPPPPPPPP","1067","Unsatisfactory",
"PPPPPPPPPPPPPPP","PPPPPPPPPP","1358","Unsatisfactory",
"QQQQQQQQQQQQQQQ","QQQQQQQQQQ","1344","Unsatisfactory",
"QQQQQQQQQQQQQQQ","QQQQQQQQQQ","1067","Unsatisfactory",
"RRRRRRRRRRRRRRR","RRRRRRRRRR","1110","Unsatisfactory",
"RRRRRRRRRRRRRRR","RRRRRRRRRR","1329","Unsatisfactory",
"SSSSSSSSSSSSSSS","SSSSSSSSSS","1314","Unsatisfactory",
"SSSSSSSSSSSSSSS","SSSSSSSSSS","1110","Unsatisfactory",
"THREED","THREED","1755","Advanced",
"THREEE","THREEE","1789","Advanced",
"THREEE","THREEE","1833","Advanced",
"THREEF","THREEF","1892","Advanced",
"THREEG","THREEG","1990","Advanced",
"THREEH","THREEH","2156","Advanced",
"THREEI","THREEI","1990","Advanced",
"THREEJ","THREEJ","1892","Advanced",
"THREEK","THREEK","1833","Advanced",
"THREEL","THREEL","2156","Advanced",
"THREEM","THREEM","2156","Advanced",
"THREEN","THREEN","A","A",
"THREEO","THREEO","A","A",
"THREEP","THREEP","A","A",
"THREEQ","THREEQ","O","O",
"THREER","THREER","O","O",
"THREES","THREES","O","O",
"THREET","THREET","O","O",
"TTTTTTTTTTTTTTT","TTTTTTTTTT","1145","Unsatisfactory",
"TTTTTTTTTTTTTTT","TTTTTTTTTT","1298","Unsatisfactory",
"TWOA","A","850","Unsatisfactory",
"TWOA","TWOA","1620","Satisfactory",
"TWOB","B","989","Unsatisfactory",
"TWOB","TWOB","1638","Satisfactory",
"TWOC","C","1071","Unsatisfactory",
"TWOC","TWOC","1657","Satisfactory",
"TWOD","TWOD","1677","Satisfactory",
"TWOE","TWOE","1701","Advanced",
"TWOF","TWOF","1726","Advanced",
"TWOI","I","1249","Unsatisfactory",
"TWOJ","J","1266","Unsatisfactory",
"TWOK","K","1281","Unsatisfactory",
"TWOL","L","1296","Unsatisfactory",
"TWOM","M","1310","Unsatisfactory",
"TWON","N","O","O",
"TWOO","O","O","O",
"TWOP","P","O","O",
"TWOQ","Q","1156","Unsatisfactory",
"TWOR","R","1185","Unsatisfactory",
"TWOS","S","A","A",
"TWOT","T","1185","Unsatisfactory",
"TWOU","U","O","O",
"TWOV","V","1185","Unsatisfactory",
"TWOW","W","O","O",
"TWOX","X","1185","Unsatisfactory",
"TWOY","Y","*","*",
"TWOZ","Z","*","*",
"TWOZA","ZA","O","O",
"TWOZB","ZB","1185","Unsatisfactory",
"TWOZC","ZC","O","O",
"TWOZD","ZD","O","O",
"TWOZE","ZE","*","*",
"TWOZF","ZF","1185","Unsatisfactory",
"TWOZG","ZG","A","A",
"TWOZH","ZH","A","A",
"TWOZI","ZI","O","O",
"TWOZJ","ZJ","O","O",
"TWOZK","ZK","O","O",
"TWOZL","ZL","1185","Unsatisfactory",
"TWOZR","ZR","O","O",
"TWOZS","ZS","O","O",
"TWOZU","FIVERM","O","O",
"TWOZV","ZV","A","A",
"UUUUUUUUUUUUUUU","UUUUUUUUUU","1281","Unsatisfactory",
"UUUUUUUUUUUUUUU","UUUUUUUUUU","1145","Unsatisfactory",
"VVVVVVVVVVVVVVV","VVVVVVVVVV","1174","Unsatisfactory",
"VVVVVVVVVVVVVVV","VVVVVVVVVV","1263","Unsatisfactory",
"WWWWWWWWWWWWWWW","WWWWWWWWWW","1174","Unsatisfactory",
"WWWWWWWWWWWWWWW","WWWWWWWWWW","1244","Unsatisfactory",
"XXXXXXXXXXXXXXX","XXXXXXXXXX","1200","Unsatisfactory",
"XXXXXXXXXXXXXXX","XXXXXXXXXX","1223","Unsatisfactory",
"YYYYYYYYYYYYYYY","YYYYYYYYYY","1200","Unsatisfactory",
"ZZZZZZZZZZZZZZZ","ZZZZZZZZZZ","1244","Unsatisfactory"
