"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Reading - Raw Score","Reading - Scale Score","Reading - Performance Level"
"BBBBBBBBBBBBBBK","KKKKKKKKKM","1","989","Unsatisfactory",
"BBBBBBBBBBBBBBL","LLLLLLLLLN","2","1071","Unsatisfactory",
"BBBBBBBBBBBBBBM","MMMMMMMM O","3","1120","Unsatisfactory",
"BBBBBBBBBBBBBBN","NNNNNNNNNP","4","1110","Unsatisfactory",
"BBBBBBBBBBBBBBO","OOOOOOOOOQ","5","1145","Unsatisfactory",
"BBBBBBBBBBBBBBP","PPPPPPPPPR","6","1174","Unsatisfactory",
"BBBBBBBBBBBBBBQ","QQQQQQQQQS","7","1230","Unsatisfactory",
"BBBBBBBBBBBBBBR","RRRRRRRRRT","8","1249","Unsatisfactory",
"BBBBBBBBBBBBBBS","SSSSSSSSSU","9","1266","Unsatisfactory",
"BBBBBBBBBBBBBBT","TTTTTTTTTV","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBU","UUUUUUUUUW","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBV","VVVVVVVVVX","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBW","WWWWWWWWWY","D","D","D",
"BBBBBBBBBBBBBBX","XXXXXXXXXZ","D","D","D",
"BBBBBBBBBBBBBBY","YYYYYYYYYA","D","D","D",
"BRAILLE","B","46","2035","Advanced",
"BRAILLE","B","10","1281","Unsatisfactory",
"BRAILLE","B","O","O","O",
"BRAILLE","B","28","1489","Satisfactory",
"BRAILLE","B","0","829","Unsatisfactory",
"BRAILLE","B","0","829","Unsatisfactory",
"BRAILLE","B","P","P","P",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","25","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","D","D","D",
"CCCCCCCCCCCCCCC","BBBBBBBBBB","P","P","P",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","13","1323","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","17","1356","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","0","743","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","19","1399","Unsatisfactory",
"CCCCCCCCCCCCCCC","DDDDDDDDDD","18","1368","Unsatisfactory",
"CCCCCCCCCCCCCCC","EEEEEEEEEE","19","1380","Unsatisfactory",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","D","D","D",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","20","1391","Unsatisfactory",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","D","D","D",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","21","1403","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","22","1414","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","D","D","D",
"CCCCCCCCCCCCCCC","IIIIIIIIII","23","1425","Unsatisfactory",
"CCCCCCCCCCCCCCC","IIIIIIIIII","D","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","D","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","24","1436","Unsatisfactory",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","D","D","D",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","25","1448","Unsatisfactory",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","D","D","D",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","26","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","27","1470","Satisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","D","D","D",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","28","1482","Satisfactory",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","D","D","D",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","29","1489","Satisfactory",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","D","D","D",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","30","1508","Satisfactory",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","D","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","P","P","P",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","D","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","31","1518","Satisfactory",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","D","D","D",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","P","P","P",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","32","1526","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","33","1545","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","P","P","P",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","D","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","D","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","34","1563","Satisfactory",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","P","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","D","D","D",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","P","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","35","1573","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","D","D","D",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","36","1582","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","P","P","P",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","37","1605","Satisfactory",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","O","O","O",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","D","D","D",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","38","1623","Satisfactory",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","O","O","O",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","D","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","39","1642","Satisfactory",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","D","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","O","O","O",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","D","D","D",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","40","1667","Advanced",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","O","O","O",
"CHANGENAME","FIVERM","A","A","A",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","D","D","D",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","41","1689","Advanced",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","O","O","O",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","D","D","D",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","42","1719","Advanced",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","26","1470","Satisfactory",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","D","D","D",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","43","1755","Advanced",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","27","1476","Satisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","D","D","D",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","1","909","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","43","1755","Advanced",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","12","1310","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","17","1372","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","28","1489","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","29","1498","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","D","D","D",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","45","1889","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","D","D","D",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","46","2028","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","30","1508","Satisfactory",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","D","D","D",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","O","O","O",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","D","D","D",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","O","O","O",
"DDDDDDDDDDDDDDD","IIIIIIIIII","D","D","D",
"DDDDDDDDDDDDDDD","IIIIIIIIII","31","1526","Satisfactory",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","D","D","D",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","32","1533","Satisfactory",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","D","D","D",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","33","1545","Satisfactory",
"DDDDDDDDDDDDDDD","LLLLLLLLLL","34","1563","Satisfactory",
"DDDDDDDDDDDDDDD","MMMMMMMMMM","35","1573","Satisfactory",
"DDDDDDDDDDDDDDD","NNNNNNNNNN","36","1582","Satisfactory",
"DDDDDDDDDDDDDDD","OOOOOOOOOO","37","1603","Satisfactory",
"DDDDDDDDDDDDDDD","PPPPPPPPPP","38","1620","Satisfactory",
"DDDDDDDDDDDDDDD","QQQQQQQQQQ","39","1639","Satisfactory",
"DDDDDDDDDDDDDDD","RRRRRRRRRR","40","1667","Advanced",
"DDDDDDDDDDDDDDD","SSSSSSSSSS","41","1684","Advanced",
"DDDDDDDDDDDDDDD","TTTTTTTTTT","42","1713","Advanced",
"DDDDDDDDDDDDDDD","UUUUUUUUUU","43","1749","Advanced",
"DDDDDDDDDDDDDDD","VVVVVVVVVV","44","1798","Advanced",
"DDDDDDDDDDDDDDD","WWWWWWWWWW","45","1880","Advanced",
"DDDDDDDDDDDDDDD","XXXXXXXXXX","46","2019","Advanced",
"DDDDDDDDDDDDDDD","YYYYYYYYYY","O","O","O",
"DDDDDDDDDDDDDDD","ZZZZZZZZZZ","O","O","O",
"EEEEEEEEEEEEEEE","AAAAAAAAAA","O","O","O",
"EEEEEEEEEEEEEEE","BBBBBBBBBB","O","O","O",
"EEEEEEEEEEEEEEE","CCCCCCCCCC","O","O","O",
"EEEEEEEEEEEEEEE","DDDDDDDDDD","O","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","11","1296","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","O","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","2","1007","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","O","O","O",
"EEEEEEEEEEEEEEE","FFFFFFFFFF","O","O","O",
"EEEEEEEEEEEEEEE","GGGGGGGGGG","A","A","A",
"EEEEEEEEEEEEEEE","HHHHHHHHHH","A","A","A",
"EEEEEEEEEEEEEEE","IIIIIIIIII","A","A","A",
"EEEEEEEEEEEEEEE","JJJJJJJJJJ","A","A","A",
"EEEEEEEEEEEEEEE","KKKKKKKKKK","O","O","O",
"EEEEEEEEEEEEEEE","LLLLLLLLLL","O","O","O",
"EEEEEEEEEEEEEEE","MMMMMMMMMM","O","O","O",
"EEEEEEEEEEEEEEE","NNNNNNNNNN","O","O","O",
"EEEEEEEEEEEEEEE","OOOOOOOOOO","O","O","O",
"EEEEEEEEEEEEEEE","PPPPPPPPPP","O","O","O",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","10","1281","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","10","1263","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","3","1067","Unsatisfactory",
"FIVE","FIVE","0","850","Unsatisfactory",
"FIVERM","ZT","A","A","A",
"FOUR T","T","5","1185","Unsatisfactory",
"FOURA","A","1","989","Unsatisfactory",
"FOURB","B","2","1071","Unsatisfactory",
"FOURD","D","3","1120","Unsatisfactory",
"FOURE","E","5","1185","Unsatisfactory",
"FOURF","F","6","1209","Unsatisfactory",
"FOURG","G","7","1230","Unsatisfactory",
"FOURH","H","8","1249","Unsatisfactory",
"FOURI","I","9","1266","Unsatisfactory",
"FOURJ","J","10","1281","Unsatisfactory",
"FOURK","K","11","1296","Unsatisfactory",
"FOURL","L","12","1310","Unsatisfactory",
"FOURM","M","13","1323","Unsatisfactory",
"FOURN","N","14","1335","Unsatisfactory",
"FOURP","P","1","989","Unsatisfactory",
"FOURQ","Q","2","1071","Unsatisfactory",
"FOURR","R","3","1120","Unsatisfactory",
"FOURS","S","4","1156","Unsatisfactory",
"FOURU","U","6","1209","Unsatisfactory",
"FOURV","V","7","1230","Unsatisfactory",
"FOURW","W","8","1249","Unsatisfactory",
"FOURX","X","9","1266","Unsatisfactory",
"FOURY","Y","10","1281","Unsatisfactory",
"FOURZ","Z","11","1296","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","4","1110","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","19","1399","Unsatisfactory",
"GGGGGGGGGGGGGGG","GGGGGGGGGG","9","1266","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","17","1372","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","5","1145","Unsatisfactory",
"HHHHHHHHHHHHHHH","HHHHHHHHHH","8","1249","Unsatisfactory",
"IIIIIIIIIIIIIII","IIIIIIIIII","7","1230","Unsatisfactory",
"IIIIIIIIIIIIIII","IIIIIIIIII","O","O","O",
"IIIIIIIIIIIIIII","IIIIIIIIII","6","1174","Unsatisfactory",
"JJJJJJJJJJJJJJJ","JJJJJJJJJJ","6","1209","Unsatisfactory",
"JJJJJJJJJJJJJJJ","JJJJJJJJJJ","7","1200","Unsatisfactory",
"KKKKKKKKKKKKKKK","KKKKKKKKKK","8","1223","Unsatisfactory",
"KKKKKKKKKKKKKKK","KKKKKKKKKK","5","1185","Unsatisfactory",
"LLLLLLLLLLLLLLL","LLLLLLLLLL","4","1156","Unsatisfactory",
"LLLLLLLLLLLLLLL","LLLLLLLLLL","1","909","Unsatisfactory",
"MMMMMMMMMMMMMMM","MMMMMMMMMM","19","1399","Unsatisfactory",
"MMMMMMMMMMMMMMM","MMMMMMMMMM","1","909","Unsatisfactory",
"NNNNNNNNNNNNNNN","NNNNNNNNNN","2","1007","Unsatisfactory",
"NNNNNNNNNNNNNNN","NNNNNNNNNN","18","1386","Unsatisfactory",
"ONEA","ONEA","10","1263","Unsatisfactory",
"ONEB","ONEB","11","1281","Unsatisfactory",
"ONEC","ONEC","12","1298","Unsatisfactory",
"ONED","ONED","13","1314","Unsatisfactory",
"ONEE","ONEE","14","1329","Unsatisfactory",
"ONEF","ONEF","15","1344","Unsatisfactory",
"ONEG","ONEG","16","1358","Unsatisfactory",
"ONEH","ONEH","17","1372","Unsatisfactory",
"ONEI","ONEI","18","1386","Unsatisfactory",
"ONEJ","ONEJ","19","1399","Unsatisfactory",
"ONEK","ONEK","19","1399","Unsatisfactory",
"ONEL","ONEL","20","1412","Unsatisfactory",
"ONEM","ONEM","21","1425","Unsatisfactory",
"ONEN","ONEN","22","1438","Unsatisfactory",
"ONEO","ONEO","23","1447","Unsatisfactory",
"ONEP","ONEP","24","1461","Satisfactory",
"ONEQ","ONEQ","25","1481","Satisfactory",
"ONER","ONER","26","1489","Satisfactory",
"ONES","ONES","27","1501","Satisfactory",
"ONET","ONET","28","1522","Satisfactory",
"ONEU","ONEU","29","1529","Satisfactory",
"ONEV","ONEV","30","1542","Satisfactory",
"ONEW","ONEW","31","1562","Satisfactory",
"ONEX","ONEX","32","1572","Satisfactory",
"ONEY","ONEY","33","1582","Satisfactory",
"ONEZ","ONEZ","34","1603","Satisfactory",
"OOOOOOOOOOOOOOO","OOOOOOOOOO","2","1007","Unsatisfactory",
"OOOOOOOOOOOOOOO","OOOOOOOOOO","17","1372","Unsatisfactory",
"PPPPPPPPPPPPPPP","PPPPPPPPPP","3","1067","Unsatisfactory",
"PPPPPPPPPPPPPPP","PPPPPPPPPP","16","1358","Unsatisfactory",
"QQQQQQQQQQQQQQQ","QQQQQQQQQQ","15","1344","Unsatisfactory",
"QQQQQQQQQQQQQQQ","QQQQQQQQQQ","3","1067","Unsatisfactory",
"RRRRRRRRRRRRRRR","RRRRRRRRRR","4","1110","Unsatisfactory",
"RRRRRRRRRRRRRRR","RRRRRRRRRR","14","1329","Unsatisfactory",
"SSSSSSSSSSSSSSS","SSSSSSSSSS","13","1314","Unsatisfactory",
"SSSSSSSSSSSSSSS","SSSSSSSSSS","4","1110","Unsatisfactory",
"THREED","THREED","41","1755","Advanced",
"THREEE","THREEE","42","1789","Advanced",
"THREEE","THREEE","43","1833","Advanced",
"THREEF","THREEF","44","1892","Advanced",
"THREEG","THREEG","45","1990","Advanced",
"THREEH","THREEH","46","2156","Advanced",
"THREEI","THREEI","45","1990","Advanced",
"THREEJ","THREEJ","44","1892","Advanced",
"THREEK","THREEK","43","1833","Advanced",
"THREEL","THREEL","46","2156","Advanced",
"THREEM","THREEM","46","2156","Advanced",
"THREEN","THREEN","A","A","A",
"THREEO","THREEO","A","A","A",
"THREEP","THREEP","A","A","A",
"THREEQ","THREEQ","O","O","O",
"THREER","THREER","O","O","O",
"THREES","THREES","O","O","O",
"THREET","THREET","O","O","O",
"TTTTTTTTTTTTTTT","TTTTTTTTTT","5","1145","Unsatisfactory",
"TTTTTTTTTTTTTTT","TTTTTTTTTT","12","1298","Unsatisfactory",
"TWOA","A","0","850","Unsatisfactory",
"TWOA","TWOA","35","1620","Satisfactory",
"TWOB","B","1","989","Unsatisfactory",
"TWOB","TWOB","36","1638","Satisfactory",
"TWOC","C","2","1071","Unsatisfactory",
"TWOC","TWOC","37","1657","Satisfactory",
"TWOD","TWOD","38","1677","Satisfactory",
"TWOE","TWOE","39","1701","Advanced",
"TWOF","TWOF","40","1726","Advanced",
"TWOI","I","8","1249","Unsatisfactory",
"TWOJ","J","9","1266","Unsatisfactory",
"TWOK","K","10","1281","Unsatisfactory",
"TWOL","L","11","1296","Unsatisfactory",
"TWOM","M","12","1310","Unsatisfactory",
"TWON","N","O","O","O",
"TWOO","O","O","O","O",
"TWOP","P","O","O","O",
"TWOQ","Q","4","1156","Unsatisfactory",
"TWOR","R","5","1185","Unsatisfactory",
"TWOS","S","A","A","A",
