"Roster View "
"STAAR 3-8,ZY CRUSE ISD,Grade 5,May 2016,2016"

"Last Name","First Name","Student ID (PEIMS)","Campus Name","Reading - Raw Score","Reading - Scale Score","Reading - Performance Level"
"AAAAAAAAAAAAAAA","OOOOOOOOOO","997056015","Yahoo M S","6","1184","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","996053016","Yippee J H","D","D","D",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","997056016","Yahoo M S","7","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","PPPPPPPPPP","990051016","Yippee J H","6","1209","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","997056017","Yahoo M S","7","1206","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","990051017","Yippee J H","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","QQQQQQQQQQ","996053017","Yippee J H","D","D","D",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","997056018","Yahoo M S","8","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","990051018","Yippee J H","7","1230","Unsatisfactory",
"AAAAAAAAAAAAAAA","RRRRRRRRRR","996053018","Yippee J H","D","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","996053019","Yippee J H","D","D","D",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","990051019","Yippee J H","8","1249","Unsatisfactory",
"AAAAAAAAAAAAAAA","SSSSSSSSSS","997056019","Yahoo M S","8","1226","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","996053020","Yippee J H","D","D","D",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","990051020","Yippee J H","8","1249","Unsatisfactory",
"AAAAAAAAAAAAAAA","TTTTTTTTTT","997056020","Yahoo M S","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","997056021","Yahoo M S","9","1244","Unsatisfactory",
"AAAAAAAAAAAAAAA","UUUUUUUUUU","990051021","Yippee J H","9","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","990051022","Yippee J H","9","1266","Unsatisfactory",
"AAAAAAAAAAAAAAA","VVVVVVVVVV","997056022","Yahoo M S","10","1261","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","990051023","Yippee J H","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","WWWWWWWWWW","997056023","Yahoo M S","11","1276","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","997056024","Yahoo M S","12","1291","Unsatisfactory",
"AAAAAAAAAAAAAAA","XXXXXXXXXX","990051024","Yippee J H","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","997056025","Yahoo M S","13","1305","Unsatisfactory",
"AAAAAAAAAAAAAAA","YYYYYYYYYY","990051025","Yippee J H","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","990051026","Yippee J H","10","1281","Unsatisfactory",
"AAAAAAAAAAAAAAA","ZZZZZZZZZZ","997056026","Yahoo M S","14","1318","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","990051027","Yippee J H","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","AAAAAAAAAA","997056027","Yahoo M S","15","1331","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","998058002","Yahoo M S","0","743","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","990005902","Yahoo M S","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","997056028","Yahoo M S","16","1344","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","998058101","Yahoo M S","10","1263","Unsatisfactory",
"BBBBBBBBBBBBBBB","BBBBBBBBBB","990051028","Yippee J H","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","990051029","Yippee J H","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","CCCCCCCCCC","997056029","Yahoo M S","P","P","P",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","990051030","Yippee J H","11","1296","Unsatisfactory",
"BBBBBBBBBBBBBBB","DDDDDDDDDD","997056030","Yahoo M S","P","P","P",
"BBBBBBBBBBBBBBB","EEEEEEEEEE","990051031","Yippee J H","12","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","FFFFFFFFFF","990051032","Yippee J H","12","1310","Unsatisfactory",
"BBBBBBBBBBBBBBB","GGGGGGGGGG","990051033","Yippee J H","13","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","HHHHHHHHHH","990051034","Yippee J H","13","1323","Unsatisfactory",
"BBBBBBBBBBBBBBB","IIIIIIIIII","990051035","Yippee J H","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","JJJJJJJJJJ","990051036","Yippee J H","14","1335","Unsatisfactory",
"BBBBBBBBBBBBBBB","KKKKKKKKKK","990051037","Yippee J H","15","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","LLLLLLLLLL","990051038","Yippee J H","15","1347","Unsatisfactory",
"BBBBBBBBBBBBBBB","MMMMMMMMMM","990051039","Yippee J H","16","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","NNNNNNNNNN","990051040","Yippee J H","16","1359","Unsatisfactory",
"BBBBBBBBBBBBBBB","OOOOOOOOOO","990051041","Yippee J H","17","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","PPPPPPPPPP","990051042","Yippee J H","17","1370","Unsatisfactory",
"BBBBBBBBBBBBBBB","QQQQQQQQQQ","990051043","Yippee J H","18","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","RRRRRRRRRR","990051044","Yippee J H","18","1381","Unsatisfactory",
"BBBBBBBBBBBBBBB","SSSSSSSSSS","990051045","Yippee J H","19","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","TTTTTTTTTT","990051046","Yippee J H","19","1392","Unsatisfactory",
"BBBBBBBBBBBBBBB","UUUUUUUUUU","990051047","Yippee J H","20","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","VVVVVVVVVV","990051048","Yippee J H","20","1403","Unsatisfactory",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","997056049","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBB","WWWWWWWWWW","990051049","Yippee J H","21","1413","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","990051050","Yippee J H","22","1424","Unsatisfactory",
"BBBBBBBBBBBBBBB","XXXXXXXXXX","997056050","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","990051051","Yippee J H","23","1434","Unsatisfactory",
"BBBBBBBBBBBBBBB","YYYYYYYYYY","997056051","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","997056052","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBB","ZZZZZZZZZZ","990051052","Yippee J H","24","1445","Unsatisfactory",
"BBBBBBBBBBBBBBK","KKKKKKKKKM","914000037","Yahoo M S","1","989","Unsatisfactory",
"BBBBBBBBBBBBBBL","LLLLLLLLLN","904000038","Yahoo M S","2","1071","Unsatisfactory",
"BBBBBBBBBBBBBBM","MMMMMMMM O","914000039","Yahoo M S","3","1120","Unsatisfactory",
"BBBBBBBBBBBBBBN","NNNNNNNNNP","914000040","Yahoo M S","4","1110","Unsatisfactory",
"BBBBBBBBBBBBBBO","OOOOOOOOOQ","914000041","Yahoo M S","5","1145","Unsatisfactory",
"BBBBBBBBBBBBBBP","PPPPPPPPPR","914000042","Yahoo M S","6","1174","Unsatisfactory",
"BBBBBBBBBBBBBBQ","QQQQQQQQQS","914000043","Yahoo M S","7","1230","Unsatisfactory",
"BBBBBBBBBBBBBBR","RRRRRRRRRT","914000044","Yahoo M S","8","1249","Unsatisfactory",
"BBBBBBBBBBBBBBS","SSSSSSSSSU","914000045","Yahoo M S","9","1266","Unsatisfactory",
"BBBBBBBBBBBBBBT","TTTTTTTTTV","914000046","Yahoo M S","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBU","UUUUUUUUUW","914000047","Yahoo M S","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBV","VVVVVVVVVX","914000048","Yahoo M S","0","818","Unsatisfactory",
"BBBBBBBBBBBBBBW","WWWWWWWWWY","914000049","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBX","XXXXXXXXXZ","914000050","Yahoo M S","D","D","D",
"BBBBBBBBBBBBBBY","YYYYYYYYYA","914000051","Yahoo M S","D","D","D",
"BRAILLE","B","990005702","Yippee J H","46","2035","Advanced",
"BRAILLE","B","990005706","Yippee J H","10","1281","Unsatisfactory",
"BRAILLE","B","990005707","Yippee J H","O","O","O",
"BRAILLE","B","990005703","Yippee J H","28","1489","Satisfactory",
"BRAILLE","B","990005704","Yippee J H","0","829","Unsatisfactory",
"BRAILLE","B","990005705","Yippee J H","0","829","Unsatisfactory",
"BRAILLE","B","990005701","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","990051053","Yippee J H","25","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","AAAAAAAAAA","997056053","Yahoo M S","D","D","D",
"CCCCCCCCCCCCCCC","BBBBBBBBBB","997056054","Yahoo M S","P","P","P",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","990005903","Yahoo M S","13","1323","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","997056055","Yahoo M S","17","1356","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","998058003","Yahoo M S","0","743","Unsatisfactory",
"CCCCCCCCCCCCCCC","CCCCCCCCCC","998058102","Yahoo M S","19","1399","Unsatisfactory",
"CCCCCCCCCCCCCCC","DDDDDDDDDD","997056056","Yahoo M S","18","1368","Unsatisfactory",
"CCCCCCCCCCCCCCC","EEEEEEEEEE","997056057","Yahoo M S","19","1380","Unsatisfactory",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","996053058","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","FFFFFFFFFF","997056058","Yahoo M S","20","1391","Unsatisfactory",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","996053059","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","GGGGGGGGGG","997056059","Yahoo M S","21","1403","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","997056060","Yahoo M S","22","1414","Unsatisfactory",
"CCCCCCCCCCCCCCC","HHHHHHHHHH","996053060","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","IIIIIIIIII","997056061","Yahoo M S","23","1425","Unsatisfactory",
"CCCCCCCCCCCCCCC","IIIIIIIIII","996053061","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","996053062","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","JJJJJJJJJJ","997056062","Yahoo M S","24","1436","Unsatisfactory",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","996053063","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","KKKKKKKKKK","997056063","Yahoo M S","25","1448","Unsatisfactory",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","996053064","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","LLLLLLLLLL","997056064","Yahoo M S","26","1458","Unsatisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","997056065","Yahoo M S","27","1470","Satisfactory",
"CCCCCCCCCCCCCCC","MMMMMMMMMM","996053065","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","997056066","Yahoo M S","28","1482","Satisfactory",
"CCCCCCCCCCCCCCC","NNNNNNNNNN","996053066","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","997056067","Yahoo M S","29","1489","Satisfactory",
"CCCCCCCCCCCCCCC","OOOOOOOOOO","996053067","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","997056068","Yahoo M S","30","1508","Satisfactory",
"CCCCCCCCCCCCCCC","PPPPPPPPPP","996053068","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","990051069","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","996053069","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","QQQQQQQQQQ","997056069","Yahoo M S","31","1518","Satisfactory",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","996053070","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","990051070","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","RRRRRRRRRR","997056070","Yahoo M S","32","1526","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","997056071","Yahoo M S","33","1545","Satisfactory",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","990051071","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","SSSSSSSSSS","996053071","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","996053072","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","997056072","Yahoo M S","34","1563","Satisfactory",
"CCCCCCCCCCCCCCC","TTTTTTTTTT","990051072","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","996053073","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","990051073","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","UUUUUUUUUU","997056073","Yahoo M S","35","1573","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","996053074","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","997056074","Yahoo M S","36","1582","Satisfactory",
"CCCCCCCCCCCCCCC","VVVVVVVVVV","990051074","Yippee J H","P","P","P",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","997056075","Yahoo M S","37","1605","Satisfactory",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","990051075","Yippee J H","O","O","O",
"CCCCCCCCCCCCCCC","WWWWWWWWWW","996053075","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","997056076","Yahoo M S","38","1623","Satisfactory",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","990051076","Yippee J H","O","O","O",
"CCCCCCCCCCCCCCC","XXXXXXXXXX","996053076","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","997056077","Yahoo M S","39","1642","Satisfactory",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","996053077","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","YYYYYYYYYY","990051077","Yippee J H","O","O","O",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","996053078","Yippee J H","D","D","D",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","997056078","Yahoo M S","40","1667","Advanced",
"CCCCCCCCCCCCCCC","ZZZZZZZZZZ","990051078","Yippee J H","O","O","O",
"CHANGENAME","FIVERM","990005249","Yippee J H","A","A","A",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","996053079","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","997056079","Yahoo M S","41","1689","Advanced",
"DDDDDDDDDDDDDDD","AAAAAAAAAA","990051079","Yippee J H","O","O","O",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","996053080","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","997056080","Yahoo M S","42","1719","Advanced",
"DDDDDDDDDDDDDDD","BBBBBBBBBB","990051080","Yippee J H","26","1470","Satisfactory",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","996053081","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","997056081","Yahoo M S","43","1755","Advanced",
"DDDDDDDDDDDDDDD","CCCCCCCCCC","990051081","Yippee J H","27","1476","Satisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","996053082","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","998058004","Yahoo M S","1","909","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","997056082","Yahoo M S","43","1755","Advanced",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","990005904","Yahoo M S","12","1310","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","998058103","Yahoo M S","17","1372","Unsatisfactory",
"DDDDDDDDDDDDDDD","DDDDDDDDDD","990051082","Yippee J H","28","1489","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","990051083","Yippee J H","29","1498","Satisfactory",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","996053083","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","EEEEEEEEEE","997056083","Yahoo M S","45","1889","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","996053084","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","997056084","Yahoo M S","46","2028","Advanced",
"DDDDDDDDDDDDDDD","FFFFFFFFFF","990051084","Yippee J H","30","1508","Satisfactory",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","996053085","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","GGGGGGGGGG","990051085","Yippee J H","O","O","O",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","996053086","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","HHHHHHHHHH","990051086","Yippee J H","O","O","O",
"DDDDDDDDDDDDDDD","IIIIIIIIII","996053087","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","IIIIIIIIII","990051087","Yippee J H","31","1526","Satisfactory",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","996053088","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","JJJJJJJJJJ","990051088","Yippee J H","32","1533","Satisfactory",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","996053089","Yippee J H","D","D","D",
"DDDDDDDDDDDDDDD","KKKKKKKKKK","990051089","Yippee J H","33","1545","Satisfactory",
"DDDDDDDDDDDDDDD","LLLLLLLLLL","990051090","Yippee J H","34","1563","Satisfactory",
"DDDDDDDDDDDDDDD","MMMMMMMMMM","990051091","Yippee J H","35","1573","Satisfactory",
"DDDDDDDDDDDDDDD","NNNNNNNNNN","990051092","Yippee J H","36","1582","Satisfactory",
"DDDDDDDDDDDDDDD","OOOOOOOOOO","990051093","Yippee J H","37","1603","Satisfactory",
"DDDDDDDDDDDDDDD","PPPPPPPPPP","990051094","Yippee J H","38","1620","Satisfactory",
"DDDDDDDDDDDDDDD","QQQQQQQQQQ","990051095","Yippee J H","39","1639","Satisfactory",
"DDDDDDDDDDDDDDD","RRRRRRRRRR","990051096","Yippee J H","40","1667","Advanced",
"DDDDDDDDDDDDDDD","SSSSSSSSSS","990051097","Yippee J H","41","1684","Advanced",
"DDDDDDDDDDDDDDD","TTTTTTTTTT","990051098","Yippee J H","42","1713","Advanced",
"DDDDDDDDDDDDDDD","UUUUUUUUUU","990051099","Yippee J H","43","1749","Advanced",
"DDDDDDDDDDDDDDD","VVVVVVVVVV","990051100","Yippee J H","44","1798","Advanced",
"DDDDDDDDDDDDDDD","WWWWWWWWWW","990051101","Yippee J H","45","1880","Advanced",
"DDDDDDDDDDDDDDD","XXXXXXXXXX","990051102","Yippee J H","46","2019","Advanced",
"DDDDDDDDDDDDDDD","YYYYYYYYYY","990051103","Yippee J H","O","O","O",
"DDDDDDDDDDDDDDD","ZZZZZZZZZZ","990051104","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","AAAAAAAAAA","990051105","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","BBBBBBBBBB","990051106","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","CCCCCCCCCC","990051107","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","DDDDDDDDDD","990051108","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","990005905","Yahoo M S","11","1296","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","990051109","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","998058005","Yahoo M S","2","1007","Unsatisfactory",
"EEEEEEEEEEEEEEE","EEEEEEEEEE","998058104","Yahoo M S","O","O","O",
"EEEEEEEEEEEEEEE","FFFFFFFFFF","990051110","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","GGGGGGGGGG","990051111","Yippee J H","A","A","A",
"EEEEEEEEEEEEEEE","HHHHHHHHHH","990051112","Yippee J H","A","A","A",
"EEEEEEEEEEEEEEE","IIIIIIIIII","990051113","Yippee J H","A","A","A",
"EEEEEEEEEEEEEEE","JJJJJJJJJJ","990051114","Yippee J H","A","A","A",
"EEEEEEEEEEEEEEE","KKKKKKKKKK","990051115","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","LLLLLLLLLL","990051116","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","MMMMMMMMMM","990051117","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","NNNNNNNNNN","990051118","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","OOOOOOOOOO","990051119","Yippee J H","O","O","O",
"EEEEEEEEEEEEEEE","PPPPPPPPPP","990051120","Yippee J H","O","O","O",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","990005906","Yahoo M S","10","1281","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","998058105","Yahoo M S","10","1263","Unsatisfactory",
"FFFFFFFFFFFFFFF","FFFFFFFFFF","998058006","Yahoo M S","3","1067","Unsatisfactory",
"FIVE","FIVE","990005403","Yippee J H","0","850","Unsatisfactory",
"FIVERM","ZT","990005246","Yippee J H","A","A","A",
"FOUR T","T","990005420","Yippee J H","5","1185","Unsatisfactory",
"FOURA","A","         ","Yippee J H","1","989","Unsatisfactory",
"FOURB","B","990005402","Yippee J H","2","1071","Unsatisfactory",
"FOURD","D","990005404","Yippee J H","3","1120","Unsatisfactory",
"FOURE","E","990005405","Yippee J H","5","1185","Unsatisfactory",
"FOURF","F","990005406","Yippee J H","6","1209","Unsatisfactory",
"FOURG","G","990005407","Yippee J H","7","1230","Unsatisfactory",
"FOURH","H","990005408","Yippee J H","8","1249","Unsatisfactory",
